iso_alpha3,country_name,postal_code_regex,address_format_mask,street_keywords,neighborhood_keywords,unit_keywords
LBN,Lebanon,^(?:\d{4}|\d{4}\ \d{4})$,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
LSO,Lesotho,^\d{3}$,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
LBR,Liberia,^\d{4}$,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
LBY,Libya,,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
LIE,Liechtenstein,^\d{4}$,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
LTU,Lithuania,^LT\-\d{5}$,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
LUX,Luxembourg,^\d{4}$,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
MAC,Macao,,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
MDG,Madagascar,^\d{3}$,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
MWI,Malawi,^\d{6}$,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
MYS,Malaysia,^\d{5}$,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
MDV,Maldives,^\d{5}$,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
MLI,Mali,,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
MTT,Malta,,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
MLT,Malta,^[A-Z][A-Z][A-Z]\ \d{4}$,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
MHL,Marshall Islands,^(?:\d{5}|\d{5}\-\d{4})$,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
MTQ,Martinique,^972\d{2}$,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
MRT,Mauritania,,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
MUS,Mauritius,^(?:\d{5}|R\d{4})$,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
MYT,Mayotte,^976\d{2}$,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
MEX,Mexico,^\d{5}$,"%S %N %I\n%M\n%Z %C, %P",calle|rúa|acera|facera,,apartamento|departamento|piso|vivienda|depa
FSM,Micronesia,^(?:\d{5}|\d{5}\-\d{4})$,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
MDA,Moldova,^(?:MD\d{4}|MD\-\d{4})$,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
MCO,Monaco,^980\d{2}$,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
MNG,Mongolia,^\d{5}$,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
MNE,Montenegro,^\d{5}$,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
MSR,Montserrat,^MSR\ \d{4}$,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
MAR,Morocco,^\d{5}$,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
MOZ,Mozambique,^\d{4}$,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
MMR,Myanmar,^\d{7}$,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
NAM,Namibia,^\d{5}$,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
NRU,Nauru,,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
NPL,Nepal,^\d{5}$,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
NLD,Netherlands,^\d{4}$,%S %N %I\n%Z %C,straat,,woning|appartement|flat
NCL,New Caledonia,^988\d{2}$,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
NZL,New Zealand,^\d{4}$,%N %S\n%C %Z,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
NIC,Nicaragua,^\d{5}$,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
NER,Niger,^\d{4}$,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
NGA,Nigeria,^\d{6}$,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
NIU,Niue,,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
NFK,Norfolk Island,^\d{4}$,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
MNP,Northern Mariana Islands,^(?:\d{5}|\d{5}\-\d{4})$,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
NOR,Norway,^(?:\d{4}|NO\-\d{4})$,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
OMN,Oman,^\d{3}$,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
PAK,Pakistan,^\d{5}$,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
PLW,Palau,^(?:\d{5}|\d{5}\-\d{4})$,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
PSE,Palestine,^\d{3}$,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
PAN,Panama,^\d{4}$,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
PNG,Papua New Guinea,^\d{3}$,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
PRY,Paraguay,^\d{6}$,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
PER,Peru,^(?:\d{5}|PE\ \d{4})$,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
PHL,Philippines,^\d{4}$,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
PCN,Pitcairn,^PCR\d\ 1ZZ$,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
POL,Poland,^\d{2}\-\d{3}$,ul. %S %N m. %I\n%Z %C,ulica,,mieszkanie
PRT,Portugal,^\d{4}\-\d{3}$,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
PRI,Puerto Rico,^\d{5}$,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
QA,Qatar,,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
REU,Réunion,^974\d{2}$,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
ROU,Romania,^\d{6}$,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
RUS,Russia,^\d{6}$,%S %N %I\n%C\n%P\n%Z,у́лица|úlica,,кварти́ра|kvartíra|апартаме́нт|apartamént
RWA,Rwanda,,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
BLM,Saint Barthélemy,^97133$,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
SHN,Saint Helena,^[A-Z][A-Z][A-Z][A-Z]\ 1ZZ$,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
KNA,Saint Kitts and Nevis,^KN\d{4}$,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
LCA,Saint Lucia,^LC\d{2}\ \d{3}$,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
MAF,Saint Martin,^97150$,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
SPM,Saint Pierre and Miquelon,^97500$,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
VCT,Saint Vincent and the Grenadines,^VC\d{4}$,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
WSM,Samoa,^WS\d{4}$,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
SMR,San Marino,^4789\d$,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
STP,São Tomé and Príncipe,,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
SAU,Saudi Arabia,^(?:\d{5}\-\d{4}|\d{5})$,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
SEN,Senegal,^\d{5}$,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
SRB,Serbia,^\d{5}$,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
SYC,Seychelles,,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
SLE,Sierra Leone,,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
SGP,Singapore,^\d{6}$,%N %S %I\nSINGAPORE %Z,"street|st|road|rd|avenue|ave|jalan|lebuh|街|gaai1|路|lou6|гэдо|gedo|гэ|ge|хонзы|honzɨ|gă̤|gai1|街路|ke-lō͘, koe-lō͘|jie1|jiē|lù|馬路|马路|mǎlù|jiēlù|街道|jiēdào|1ka|1ka-lu|வீதி|vīti|தெரு|teru",neighborhood|suburb|district,"apartment|apt|unit|suite|ste|rumah pangsa|pangsapuri|apartmen|公寓|gung1 jyu6|柏文|paak3 man4|雅柏文|ngaa5 paak3 man4, aa6 paat1 man4, aa6 paat1 man4-2|kûng-ngi|kong-gū, kong-gī, kong-ú|a-phá-tò|gōngyù|套間|套间|tàojiān|套房|tàofáng|1kon-gniu; 1kon-yu"
SXM,Sint Maarten,,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
SVK,Slovakia,^\d{3}\ \d{2}$,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
SVN,Slovenia,^(?:\d{4}|SI\-\d{4})$,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
SLB,Solomon Islands,,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
SOM,Somalia,^[A-Z][A-Z]\ \d{5}$,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
ZAF,South Africa,^\d{4}$,%N %S\n%C\n%Z,street|st|road|rd|avenue|ave|straat,neighborhood|suburb|district,apartment|apt|unit|suite|ste|woonstel|appartement
SGS,South Georgia and South Sandwich Islands,^SIQQ\ 1ZZ$,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
SSD,South Sudan,,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
ESP,Spain,^\d{5}$,%S %N %I\n%Z %C,calle|rúa|acera|facera,,apartamento|departamento|piso|vivienda|depa
LKA,Sri Lanka,^\d{5}$,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
SDN,Sudan,^\d{5}$,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
SUR,Suriname,,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
SJM,Svalbard and Jan Mayen,^\d{4}$,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
SWE,Sweden,^\d{3}\ \d{2}$,%S %N %I\n%Z %C,gata,,våning
CHE,Switzerland,^\d{4}$,%S %N\n%Z %C,straße|stråßn|strossn|schdrooß|rue|strada|via,,wohnung|appartement|appartements|appartamento|alloggio|quartierino
SYR,Syria,,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
TWN,Taiwan,^(?:\d{3}|\d{3}\-\d{2}|\d{3}\-\d{3})$,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
TJK,Tajikistan,^\d{6}$,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
TZA,Tanzania,^\d{5}$,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
THA,Thailand,^\d{5}$,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
TLS,Timor-Leste,,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
TGO,Togo,,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
TKL,Tokelau,,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
TON,Tonga,,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
TTO,Trinidad and Tobago,^\d{6}$,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
TUN,Tunisia,^\d{4}$,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
TUR,Turkey,^\d{5}$,%M %S No: %N D: %I\n%P %C,sokak|cadde,,daire|apartman dairesi|apartman
TKM,Turkmenistan,^\d{6}$,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
TCA,Turks and Caicos Islands,^TKC[A-Z]\ 1ZZ$,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
TUV,Tuvalu,,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
UGA,Uganda,,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
UKR,Ukraine,^\d{5}$,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
ARE,United Arab Emirates,,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
GBR,United Kingdom,"^[A-Z]\d
[A-Z]\d{2}
[A-Z][A-Z]\d
[A-Z][A-Z]\d{2}
[A-Z]\d[A-Z]
[A-Z][A-Z]\d[A-Z]$",%N %S\n%C\n%Z,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
UMI,United States Minor Outlying Islands,^96898$,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
USA,United States,^\d{5}$,"%N %S %I\n%C, %P %Z",street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
URY,Uruguay,^\d{5}$,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
UZB,Uzbekistan,^\d{6}$,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
VUT,Vanuatu,,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
VEN,Venezuela,^(?:\d{4}|\d{4}\-[A-Z])$,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
VNM,Vietnam,^\d{5}$,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
VGB,British Virgin Islands,^VG\d{4}$,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
VIR,US Virgin Islands,^(?:\d{5}|\d{5}\-\d{4})$,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
WLF,Wallis and Futuna,^986\d{2}$,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
ESH,Western Sahara,,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
YEM,Yemen,,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
ZMB,Zambia,^\d{5}$,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
ZWE,Zimbabwe,,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
